"","Outcome","intercept","gdpsh465","bmp1l","freeop","freetar","h65","hm65","hf65","p65","pm65","pf65","s65","sm65","sf65","fert65","mort65","lifee065","gpop1","fert1","mort1","invsh41","geetot1","geerec1","gde1","govwb1","govsh41","gvxdxe41","high65","highm65","highf65","highc65","highcm65","highcf65","human65","humanm65","humanf65","hyr65","hyrm65","hyrf65","no65","nom65","nof65","pinstab1","pop65","worker65","pop1565","pop6565","sec65","secm65","secf65","secc65","seccm65","seccf65","syr65","syrm65","syrf65","teapri65","teasec65","ex1","im1","xr65","tot1"
"1",-0.024335751,1,6.591673732,0.2837,0.153491,0.043888,0.007,0.013,0.001,0.29,0.37,0.21,0.04,0.06,0.02,6.67,0.16,3.693866996,0.0203,6.68,0.165,0.11898,0.0195,0.0176,0.019,0.0931,0.1158,0.07877,0.12,0.23,0.01,0.09,0.18,0.01,0.301,0.568,0.043,0.004,0.008,0,89.46,79.98,98.61,0,12359,0.3469,0.4441,0.0275912,0.45,0.75,0.17,0.13,0.21,0.04,0.033,0.057,0.01,47.6,17.3,0.0729,0.0667,0.348,-0.014727
"2",0.100472567,1,6.829793738,0.6141,0.313509,0.061827,0.019,0.032,0.007,0.91,1,0.65,0.16,0.23,0.09,6.97,0.145,3.933784497,0.0185,7.114,0.154,0.12048,0.0556,0.0369,0.019,0.1589,0.156,0.09999,0.7,1.18,0.2,0.63,1.04,0.2,0.706,1.138,0.257,0.027,0.045,0.008,89.1,82.35,96.1,0.02325,4630,0.2703,0.4474,0.0356371,3,4.74,1.2,1.36,2.05,0.64,0.173,0.274,0.067,57.1,18,0.094,0.1438,0.525,0.00575
"3",0.067051482,1,8.895081532,0,0.204244,0.009186,0.26,0.325,0.201,1,1,1,0.56,0.62,0.51,3.11,0.024,4.273884476,0.0188,3.662,0.027,0.23098,0.0465,0.0365,0.04,0.1442,0.1367,0.06,16.67,17.95,15.41,4.5,5.7,3.31,8.317,8.249,8.384,0.424,0.473,0.375,1.4,1.4,1.4,0,19678,0.3874,0.3175,0.0766846,36.74,33.5,39.95,15.68,13.19,18.14,2.573,2.478,2.667,26.5,20.7,0.1741,0.175,1.082,-0.01004
"4",0.064089166,1,7.565275282,0.1997,0.248714,0.03627,0.061,0.07,0.051,1,1,1,0.24,0.22,0.31,6.26,0.072,4.168214411,0.0345,6.83,0.085,0.12928,0.0375,0.035,0.011,0.1165,0.2018,0.15616,3.1,3.4,2.8,2.11,2.28,1.95,3.833,3.86,3.807,0.104,0.114,0.095,20.6,20.6,20.6,0,1482,0.3011,0.4671,0.0310391,7.6,7.5,7.7,2.76,2.89,2.63,0.438,0.453,0.424,27.8,22.7,0.1265,0.1496,6.625,-0.002195
"5",0.027929548,1,7.162397497,0.174,0.299252,0.037367,0.017,0.027,0.007,0.82,0.85,0.81,0.17,0.15,0.13,6.71,0.12,3.998200702,0.031,6.816,0.131,0.07932,0.0257,0.0224,0.012,0.0971,0.169,0.13427,0.67,0.98,0.36,0.45,0.66,0.25,1.9,2.084,1.72,0.022,0.033,0.012,58.73,55.56,61.82,0.2,3006,0.3314,0.4561,0.0262808,5.07,5.37,4.78,2.17,2.23,2.11,0.257,0.287,0.229,34.5,17.6,0.1211,0.1308,2.5,0.003283
"6",0.046407439,1,7.218909708,0,0.258865,0.02088,0.023,0.038,0.006,0.5,0.55,0.5,0.08,0.1,0.07,6.7,0.112,3.889777396,0.0303,6.83,0.119,0.07608,0.0151,0.0156,0.009,0.0713,0.0734,0.04899,0.7,1.09,0.3,0.48,0.74,0.21,1.426,1.622,1.227,0.024,0.037,0.01,69.2,64.27,74.2,0.4242,4568,0.3105,0.4599,0.0273643,3.5,3.6,3.4,1.02,0.59,1.46,0.16,0.174,0.146,34.3,8.1,0.0634,0.0762,1,-0.001747
"7",0.06733234,1,7.853604813,0,0.182525,0.014385,0.039,0.063,0.014,0.92,0.94,0.92,0.17,0.21,0.12,6.72,0.082,4.087655574,0.032,6.744,0.087,0.17044,0.0139,0.0134,0.007,0.0615,0.0675,0.0471,1.85,3.11,0.66,1.09,1.74,0.46,2.789,3.426,2.182,0.059,0.097,0.022,42.07,34.56,49.23,0,44752,0.2822,0.4612,0.0334287,5.28,6.64,3.98,2.42,3.28,1.59,0.342,0.484,0.207,46.6,14.7,0.0342,0.0428,12.499,0.009092
"8",0.02097768,1,7.70391021,0.2776,0.215275,0.029713,0.024,0.035,0.013,0.69,0.69,0.69,0.14,0.14,0.13,7.19,0.121,3.919991175,0.0268,7.302,0.131,0.13006,0.0173,0.0165,0.018,0.0796,0.1137,0.07942,0.6,1.13,0.1,0.41,0.77,0.07,2.148,2.21,2.09,0.02,0.038,0.003,49.6,49.6,49.6,0,1750,0.2984,0.4812,0.0234286,4.3,4.83,3.8,1.25,0.85,1.63,0.184,0.219,0.152,34,16.1,0.0864,0.0931,7,0.01163
"9",0.033551236,1,9.063463176,0,0.109614,0.002171,0.402,0.488,0.314,1,1,1,0.9,0.9,0.9,2.91,0.025,4.251348311,0.0146,3.448,0.025,0.20156,0.0474,0.0383,0.088,0.1985,0.1842,0.05831,19.18,22,16.59,11.6,14.14,9.27,9.359,9.389,9.332,0.616,0.723,0.517,2.27,2.25,2.29,0.001585,194303,0.4111,0.2956,0.0947283,46.48,42.06,50.55,22.01,19.07,24.72,3.206,3.154,3.253,28.2,20.6,0.0594,0.046,1,0.008169
"10",0.039146523,1,8.151909873,0.1484,0.110885,0.028579,0.145,0.173,0.114,1,1,1,0.28,0.26,0.4,3.07,0.058,4.186619838,0.0155,3.08,0.06,0.25374,0.0236,0.0223,0.021,0.0998,0.0984,0.05517,3.74,5.22,2.24,2.25,3.06,1.43,5.336,5.549,5.122,0.12,0.166,0.074,10.5,9.01,12.01,0.90485,22283,0.3906,0.3007,0.0622448,13.07,13.72,12.41,6.19,5.62,6.76,0.703,0.785,0.62,20.3,7.2,0.0524,0.0523,2.119,0.007584
"11",0.076126507,1,6.929516771,0.0296,0.165784,0.020115,0.046,0.066,0.025,0.73,0.86,0.63,0.18,0.21,0.14,6.59,0.16,3.793239469,0.0228,6.628,0.164,0.12702,0.0161,0.0158,0.016,0.0682,0.1386,0.10658,3.69,4.45,2.97,2.51,2.98,2.07,3.774,5.054,2.568,0.124,0.149,0.101,53.44,34.3,71.48,0.32665,3841,0.3367,0.4287,0.0325436,23.21,30.17,16.66,8.29,10.49,6.21,1.316,1.683,0.969,27.8,17.2,0.056,0.0826,11.879,0.086032
"12",0.127951209,1,7.237778192,0.2151,0.078488,0.011581,0.022,0.031,0.014,1,0.73,0.72,0.16,0.17,0.19,5.65,0.104,4.044804117,0.0299,6.048,0.109,0.2378,0.0179,0.0041,0.017,0.1251,0.1908,0.16935,1.82,2.82,0.83,1.23,1.94,0.53,2.605,2.857,2.356,0.061,0.095,0.027,47.32,43.25,51.34,0.2,84292,0.3219,0.4287,0.03164,8.83,9.21,8.46,3.79,3.61,3.96,0.594,0.674,0.515,28.2,14.8,0.027,0.0275,1.938,0.007666
"13",-0.024326089,1,8.115819701,0.4318,0.137482,0.026547,0.059,0.073,0.045,1,1,1,0.34,0.31,0.35,4.78,0.101,4.087655574,0.023,5.18,0.116,0.3459,0.0335,0.0262,0.023,0.0987,0.1689,0.11969,2.75,3.8,1.77,1.87,2.56,1.23,5.018,5.186,4.864,0.092,0.127,0.06,17.22,15.74,18.58,0,8579,0.3153,0.3896,0.049423,21.98,20.84,23.03,10.26,9.08,11.36,1.132,1.126,1.138,52.1,18.8,0.0804,0.093,0.003,0.016968
"14",0.078293425,1,7.271703707,0.1689,0.164598,0.044446,0.029,0.045,0.013,0.84,0.83,0.9,0.17,0.18,0.16,6.34,0.096,4.030694535,0.032,6.672,0.106,0.19212,0.0252,0.023,0.017,0.081,0.1104,0.07023,1.2,2.06,0.4,0.82,1.4,0.28,3.001,3.262,2.759,0.04,0.069,0.014,27.9,25.42,30.2,0,18506,0.2947,0.4579,0.0323138,10.5,12.01,9.1,3.8,4.55,3.1,0.568,0.695,0.45,35.9,13.1,0.0617,0.0678,10.479,0.004573
"15",0.112911547,1,7.121252453,0.1832,0.188016,0.045678,0.033,0.051,0.015,0.91,0.94,0.88,0.17,0.19,0.15,6.78,0.112,4.025351691,0.0299,6.886,0.119,0.23302,0.0181,0.0155,0.021,0.1099,0.154,0.1179,1.85,2.96,0.77,1.26,2.01,0.54,3.183,3.5,2.876,0.062,0.099,0.026,36.33,30.74,41.75,0.3,5162,0.3107,0.4505,0.0387447,7.87,8.14,7.6,3.08,3.01,3.16,0.44,0.512,0.369,37.4,12.7,0.0775,0.078,18.476,-0.020322
