abdt tg inuidur1 inuidur2 female black hispanic othrace dep q1 q2 q3 q4  q5 q6 recall agelt35 agegt54 durable nondurable lusd husd muld  
10824 0 18 18 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 1 0
10635 2 7 3 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0
10551 5 18 6 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0
10824 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0
10747 0 27 27 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0
10544 6 7 7 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1
10845 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0
10670 3 3 3 1 0 0 0 2 0 0 1 0 0 0 0 1 0 0 0 0 0 1
10768 3 28 11 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1
10754 2 20 20 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1
10712 3 6 6 0 0 0 0 2 0 0 0 1 0 0 0 0 0 1 0 0 0 1
10607 4 9 9 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1
10831 0 27 27 0 0 0 0 1 0 0 0 0 1 0 0 0 1 1 0 1 0 0
10845 0 27 27 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0
10831 0 9 9 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0
10551 3 27 27 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 1 0 0
10859 0 27 27 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0
10740 1 15 15 1 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 1 0 0
10537 1 1 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1
10663 6 26 26 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0
10656 5 30 9 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0
10628 2 27 27 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1
10516 0 15 15 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0
10803 2 3 3 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0
