"","hhpiso","hhrooms","hhwater","hhwaterin","hhbano","hhownhouse","hhsize","hhelect","clus","headmale","headage","heademp","wifeage","wifeeduc","headeduc","child_0to5","boy_0to5","index","conspcfood_t0","conspcfood_t1","conspcfood_t2","conspcnonfood_t0","conspcnonfood_t1","conspcnonfood_t2","conspc_t0","conspc_t1","conspc_t2"
"1",1,1,1,1,1,0,5,1,1,1,26,1,26,3,8,2,2,1.54099988937378,260.223999023438,374.071990966797,379.2080078125,106.186668395996,183.149322509766,57.1279983520508,366.410675048828,557.221313476562,436.335998535156
"2",1,1,1,0,0,1,5,1,1,1,29,1,28,6,8,1,1,-0.661499977111816,265.359985351562,574.3759765625,195.167999267578,87.2666625976562,160.013336181641,112.136001586914,352.626647949219,734.389282226562,307.304016113281
"3",1,1,0,0,1,1,4,1,1,1,22,1,22,3,9,2,1,-0.324000000953674,604.549987792969,433.350006103516,367.010009765625,348.813323974609,263.083343505859,123.323333740234,953.36328125,696.433349609375,490.333343505859
"4",0,1,0,0,1,0,6,1,1,1,29,1,27,2,8,2,1,1.14999997615814,233.259994506836,281.766662597656,260.468566894531,100.877777099609,140.233337402344,36.3257141113281,334.137756347656,422,296.794281005859
"5",1,1,0,0,NA,1,4,0,1,1,22,1,22,3,9,2,1,-0.313800007104874,233.259994506836,384.130004882812,239.679992675781,51.1399993896484,90.6733322143555,70.1399993896484,284.399993896484,474.803344726562,309.820007324219
"6",1,1,1,0,1,1,4,1,1,1,23,1,23,3,13,2,0,-0.826000034809113,280.339996337891,185.110000610352,364.869995117188,158.416656494141,201.183334350586,68,438.756652832031,386.293334960938,432.869995117188
"7",1,1,0,0,1,1,6,0,1,1,34,1,27,3,9,2,2,0.821999967098236,321,126.26000213623,278.913330078125,65.5888900756836,314.759979248047,65.2133331298828,386.588897705078,441.019989013672,344.126647949219
"8",1,1,0,0,1,1,5,1,1,1,33,1,31,2,NA,1,1,0.245500028133392,619.744018554688,457.10400390625,332.127990722656,298.525329589844,184.221343994141,92.7093353271484,918.269348144531,641.325317382812,424.837341308594
"9",1,1,1,0,0,1,4,1,1,1,34,1,32,2,NA,1,0,0.462999999523163,322.070007324219,162.639999389648,292.109985351562,93.8699951171875,107.083335876465,35.7099990844727,415.940002441406,269.723327636719,327.819976806641
"10",1,1,1,0,0,1,7,1,1,1,49,1,38,2,3,0,0,0.113499999046326,199.937149047852,316.720001220703,268.926666259766,366.177154541016,173.984436035156,86.3466644287109,566.114318847656,490.704437255859,355.273315429688
"11",1,2,0,0,0,1,4,1,1,1,40,1,48,2,2,1,1,-0.000999989453703165,158.360000610352,374.5,263.220001220703,199.309997558594,150.523330688477,18.3899993896484,357.669982910156,525.023315429688,281.609985351562
"12",1,2,1,1,1,1,7,1,1,1,32,1,35,2,NA,0,0,0.51025003194809,210.942855834961,296.542846679688,225.005706787109,6.05714321136475,36.6285743713379,43.0342864990234,217,333.171417236328,268.039978027344
"13",1,2,0,0,0,1,6,1,1,1,49,1,48,2,6,1,0,1.14199995994568,194.740005493164,194.740005493164,254.354278564453,52.1822242736816,140.211120605469,54.8971405029297,246.922225952148,334.951110839844,309.251403808594
"14",1,1,0,0,1,1,4,1,1,1,33,1,28,2,6,0,0,0.206000030040741,347.75,331.700012207031,421.579986572266,86.6399993896484,97.8899993896484,175.063323974609,434.390014648438,429.590026855469,596.643310546875
"15",1,1,1,0,1,1,3,1,1,1,28,1,26,3,6,2,0,0.188000023365021,206.296005249023,236.255996704102,525.583984375,33.2000007629395,90.8560028076172,117.141334533691,239.496002197266,327.111999511719,642.725341796875
"16",1,1,1,0,1,1,4,1,1,1,29,0,26,2,4,1,1,0.288999974727631,530.719970703125,723.320007324219,540.349975585938,75.6999969482422,364.470001220703,67.8399963378906,606.419982910156,1087.7900390625,608.18994140625
"17",1,1,1,0,0,1,5,1,1,1,41,1,38,NA,NA,0,0,-0.252000004053116,207.151992797852,777.125732421875,312.440002441406,23.3333339691162,207.817153930664,33.7399978637695,230.485321044922,984.94287109375,346.179992675781
"18",0,1,0,0,0,1,5,1,1,1,29,1,30,3,6,1,1,0.862999975681305,417.727996826172,348.391998291016,578.656005859375,94.4800033569336,269.546691894531,272.192016601562,512.2080078125,617.938720703125,850.848022460938
"19",0,1,1,0,0,1,5,1,1,1,57,0,48,2,1,1,0,0.405999958515167,171.199996948242,472.940002441406,385.200012207031,127.480003356934,162.339996337891,36.4160003662109,298.679992675781,635.280029296875,421.616027832031
"20",0,1,0,0,0,1,5,1,1,1,31,1,23,2,0,1,0,1.33843326568604,171.199996948242,279.626678466797,285.048004150391,42.3386688232422,167.50666809082,148.480010986328,213.538665771484,447.133361816406,433.528015136719
"21",0,2,1,NA,1,1,6,1,1,1,42,1,37,2,6,0,0,-0.0170000214129686,542.8466796875,146.233337402344,258.226654052734,53.0466690063477,160.262222290039,190.539993286133,595.893371582031,306.495544433594,448.766662597656
"22",0,2,1,0,1,1,6,1,1,2,43,1,53,0,0,1,1,0.994100034236908,102.720001220703,368.079986572266,246.813339233398,41.3133316040039,99.2333297729492,143.006652832031,144.033325195312,467.313323974609,389.820007324219
"23",1,3,1,0,1,1,6,1,2,1,35,0,35,6,6,0,0,-1.43250000476837,126.973335266113,417.605712890625,539.280029296875,78.1377716064453,253.060943603516,360.662231445312,205.111114501953,670.666625976562,899.942260742188
"24",0,1,0,0,1,1,4,1,2,1,26,1,26,3,9,1,1,0.400666654109955,383.059997558594,994.386657714844,537.140014648438,125.599998474121,503.26220703125,307.306671142578,508.660003662109,1497.64892578125,844.446655273438
"25",0,0,1,0,1,1,7,1,2,1,30,1,31,2,4,1,1,1.58299994468689,475.691436767578,301.434295654297,191.377136230469,2.79428577423096,125.944763183594,80.6857147216797,478.485717773438,427.379058837891,272.062866210938
"26",1,0,1,1,1,1,4,1,2,1,33,1,30,3,NA,1,1,0.243000030517578,303.880004882812,578.869995117188,265.359985351562,67.8499984741211,127.839996337891,80.6999969482422,371.730010986328,706.7099609375,346.059997558594
"27",0,1,1,1,1,1,4,1,2,1,33,1,28,3,4,1,0,1.13599991798401,485.779998779297,617.390014648438,485.779998779297,259.919982910156,195.830001831055,120.680000305176,745.699951171875,813.220031738281,606.460021972656
"28",1,0,1,1,1,1,5,1,2,1,43,1,32,2,3,1,1,0.336000025272369,439.127990722656,374.928009033203,406.600006103516,315.368011474609,148.928009033203,160.594665527344,754.495971679688,523.856018066406,567.194702148438
"29",0,0,1,1,1,1,5,1,2,1,30,1,30,3,1,1,1,0.367000043392181,249.951995849609,560.679992675781,445.976013183594,52.120002746582,167.100006103516,216.360015869141,302.071990966797,727.780029296875,662.336059570312
"30",0,0,1,1,1,1,4,1,2,1,20,1,25,3,15,2,2,0.26800000667572,526.440002441406,1123.5,491.130004882812,45.0699996948242,240.233337402344,175.239990234375,571.510009765625,1363.7333984375,666.369995117188
"31",1,1,1,0,0,1,4,1,2,1,44,1,44,2,6,0,0,-0.459333330392838,272.850006103516,754.349975585938,309.586669921875,227.563323974609,378.17333984375,300.235534667969,500.413330078125,1132.52331542969,609.822204589844
"32",1,2,1,1,1,1,5,1,2,1,33,1,35,6,6,0,0,-0.630333304405212,320.144012451172,396.328002929688,778.10400390625,72.8106689453125,100.213333129883,226.855987548828,392.954681396484,496.541320800781,1004.9599609375
"33",1,0,1,1,1,1,5,1,2,1,54,1,51,2,NA,1,1,0.0680000185966492,400.608001708984,763.552001953125,941.599975585938,102.208000183105,373.496002197266,260.600006103516,502.816009521484,1137.04797363281,1202.19995117188
"34",1,0,1,1,1,1,4,1,2,1,46,1,30,NA,NA,0,0,-0.693333327770233,318.859985351562,850.007995605469,628.304016113281,96.3800048828125,165.861328125,106.703994750977,415.239990234375,1015.86932373047,735.007995605469
"35",0,0,1,0,1,1,5,1,2,1,26,1,29,NA,9,2,0,1.25,521.304016113281,425.432006835938,304.593322753906,366.679992675781,69.5279998779297,97.379997253418,887.984008789062,494.960021972656,401.973327636719
"36",1,2,1,1,0,1,7,1,2,1,34,1,31,4,9,2,2,0.312333285808563,347.902862548828,355.239990234375,489.631988525391,96.9047622680664,109.352005004883,169.581329345703,444.8076171875,464.591979980469,659.213317871094
"37",0,1,1,0,1,0,6,1,2,1,58,1,50,2,4,2,1,1.66633319854736,109.675003051758,344.302215576172,243.531997680664,44.3683319091797,101.7392578125,80.6279983520508,154.043334960938,446.041473388672,324.160003662109
"38",0,1,1,0,1,1,4,1,2,1,33,1,31,2,9,0,0,-0.176999986171722,444.049987792969,661.68798828125,602.053344726562,79.0800018310547,476.906677246094,229.613342285156,523.130004882812,1138.5947265625,831.666687011719
"39",0,1,0,0,1,1,4,1,2,1,26,1,35,2,7,0,0,-0.331000000238419,314.579986572266,607.760009765625,316.720001220703,308.953338623047,198.839996337891,107.790000915527,623.533325195312,806.599975585938,424.510009765625
"40",1,1,0,0,1,1,5,1,2,1,40,1,39,2,2,0,0,-1.31716668605804,475.079986572266,350.959991455078,349.247985839844,342.370666503906,178.994659423828,125.599998474121,817.45068359375,529.954650878906,474.847991943359
"41",1,1,0,0,0,1,7,1,2,1,25,1,41,2,6,0,0,0.329666674137115,262.302856445312,202.111114501953,273.920013427734,244.203811645508,110.788146972656,170.076187133789,506.506652832031,312.899261474609,443.996215820312
"42",1,0,0,0,1,1,4,1,2,1,43,1,48,2,9,0,0,0.0566666685044765,294.25,394.829986572266,3453.9599609375,34.2600021362305,173.190002441406,2176.68017578125,328.510009765625,568.02001953125,5630.64013671875
