"wage","lwage","sex","shs","hsg","scl","clg","ad","mw","so","we","ne","exp1","exp2","exp3","exp4","occ","occ2","ind","ind2"
9.61538461538461,2.26336437984076,1,0,0,0,1,0,0,0,0,1,7,0.49,0.343,0.2401,"3600","11","8370","18"
48.0769230769231,3.87280229227486,0,0,0,0,1,0,0,0,0,1,31,9.61,29.791,92.3521,"3050","10","5070","9"
11.0576923076923,2.40312632221592,0,0,1,0,0,0,0,0,0,1,18,3.24,5.832,10.4976,"6260","19","770","4"
13.9423076923077,2.63492793627325,1,0,0,0,0,1,0,0,0,1,25,6.25,15.625,39.0625,"420","1","6990","12"
28.8461538461538,3.36197666850887,1,0,0,0,1,0,0,0,0,1,22,4.84,10.648,23.4256,"2015","6","9470","22"
11.7307692307692,2.46221523858593,1,0,0,0,1,0,0,0,0,1,1,0.01,0.001,1e-04,"1650","5","7460","14"
19.2307692307692,2.95651156040071,1,0,1,0,0,0,0,0,0,1,42,17.64,74.088,311.1696,"5120","17","7280","14"
19.2307692307692,2.95651156040071,0,0,1,0,0,0,0,0,0,1,37,13.69,50.653,187.4161,"5240","17","5680","9"
12,2.484906649788,1,0,1,0,0,0,0,0,0,1,31,9.61,29.791,92.3521,"4040","13","8590","19"
19.2307692307692,2.95651156040071,1,0,0,0,1,0,0,0,0,1,4,0.16,0.064,0.0256,"3255","10","8190","18"
17.3076923076923,2.85115104474288,1,0,1,0,0,0,0,0,0,1,7,0.49,0.343,0.2401,"4020","13","8270","18"
12.0192307692308,2.48650793115497,0,0,1,0,0,0,0,0,0,1,30,9,27,81,"4220","14","8270","18"
12.0192307692308,2.48650793115497,1,0,0,1,0,0,0,0,0,1,5.5,0.3025,0.166375,0.09150625,"3600","11","8270","18"
13.4615384615385,2.59983661646198,1,0,0,1,0,0,0,0,0,1,20.5,4.2025,8.615125,17.66100625,"3645","11","8190","18"
16.3461538461538,2.79399263090294,1,0,0,0,1,0,0,0,0,1,25,6.25,15.625,39.0625,"110","1","7870","17"
27.8846153846154,3.32807511683319,0,0,1,0,0,0,0,0,0,1,16,2.56,4.096,6.5536,"6355","19","770","4"
21.6,3.07269331469012,0,0,1,0,0,0,0,0,0,1,27,7.29,19.683,53.1441,"6320","19","770","4"
8.65384615384615,2.15800386418294,0,0,0,1,0,0,0,0,0,1,3.5,0.1225,0.042875,0.01500625,"7410","20","570","3"
19.2307692307692,2.95651156040071,0,0,1,0,0,0,0,0,0,1,6,0.36,0.216,0.1296,"7000","20","4690","9"
13.1868131868132,2.57921732925924,0,0,1,0,0,0,0,0,0,1,8,0.64,0.512,0.4096,"4000","13","8680","20"
10.6837606837607,2.36872489549859,1,0,0,1,0,0,0,0,0,1,6.5,0.4225,0.274625,0.17850625,"4300","15","8590","19"
11.5384615384615,2.44568593663472,1,0,0,1,0,0,0,0,0,1,8.5,0.7225,0.614125,0.52200625,"3600","11","8190","18"
17.7884615384615,2.878550018931,1,0,0,0,0,1,0,0,0,1,11,1.21,1.331,1.4641,"2310","8","7860","17"
19.2307692307692,2.95651156040071,0,0,0,0,1,0,0,0,0,1,11,1.21,1.331,1.4641,"6200","19","770","4"
16.304347826087,2.79143181004126,1,0,0,1,0,0,0,0,0,1,24.5,6.0025,14.706125,36.03000625,"20","1","5480","9"
19.2307692307692,2.95651156040071,0,0,1,0,0,0,0,0,0,1,8,0.64,0.512,0.4096,"4800","16","7390","14"
14.4230769230769,2.66882948794893,1,0,1,0,0,0,0,0,0,1,5,0.25,0.125,0.0625,"430","1","7390","14"
12,2.484906649788,0,0,0,1,0,0,0,0,0,1,4.5,0.2025,0.091125,0.04100625,"6330","19","770","4"
16.8269230769231,2.82298016777619,0,0,0,0,1,0,0,0,0,1,8,0.64,0.512,0.4096,"5400","17","4870","9"
19.6703296703297,2.97911139231795,0,0,0,0,1,0,0,0,0,1,26,6.76,17.576,45.6976,"6230","19","6570","11"
42.3076923076923,3.74496892076498,1,0,0,0,0,1,0,0,0,1,0,0,0,0,"4700","16","4795","9"
13.9423076923077,2.63492793627325,1,0,0,1,0,0,0,0,0,1,15.5,2.4025,3.723875,5.77200625,"5860","17","4670","9"
10.0961538461538,2.3121545440102,1,0,0,1,0,0,0,0,0,1,9,0.81,0.729,0.6561,"3500","10","8090","18"
14.0532544378698,2.64285400154567,1,0,0,0,0,1,0,0,0,1,14,1.96,2.744,3.8416,"2330","8","7860","17"
11.965811965812,2.48205358080559,1,0,1,0,0,0,0,0,0,1,14,1.96,2.744,3.8416,"430","1","2980","6"
11.5384615384615,2.44568593663472,0,0,1,0,0,0,0,0,0,1,5,0.25,0.125,0.0625,"8965","21","2980","6"
24.0384615384615,3.17965511171492,1,0,0,0,1,0,0,0,0,1,31,9.61,29.791,92.3521,"2630","9","4870","9"
16.2721893491124,2.78945747573754,0,0,0,0,0,1,0,0,0,1,28,7.84,21.952,61.4656,"4610","15","8290","18"
11.5384615384615,2.44568593663472,0,0,1,0,0,0,0,0,0,1,11,1.21,1.331,1.4641,"9130","22","6170","10"
41.2087912087912,3.71865161244761,1,0,0,0,1,0,0,0,0,1,11,1.21,1.331,1.4641,"4700","16","5790","9"
21.6346153846154,3.07429459605709,1,0,0,1,0,0,0,0,0,1,17.5,3.0625,5.359375,9.37890625,"5400","17","6695","11"
11.2179487179487,2.41751505966802,0,0,1,0,0,0,0,0,0,1,12,1.44,1.728,2.0736,"9130","22","6170","10"
6.73076923076923,1.90668943590203,1,0,1,0,0,0,0,0,0,1,15,2.25,3.375,5.0625,"3600","11","8270","18"
10.0961538461538,2.3121545440102,0,0,1,0,0,0,0,0,0,1,27,7.29,19.683,53.1441,"3600","11","8090","18"
12.0192307692308,2.48650793115497,1,0,0,1,0,0,0,0,0,1,6.5,0.4225,0.274625,0.17850625,"4110","13","8680","20"
14.0224358974359,2.64065861098223,0,0,1,0,0,0,0,0,0,1,12,1.44,1.728,2.0736,"9620","22","8870","21"
28.8461538461538,3.36197666850887,0,0,1,0,0,0,0,0,0,1,41,16.81,68.921,282.5761,"9620","22","4970","9"
7.21153846153846,1.97568230738898,1,0,0,1,0,0,0,0,0,1,17.5,3.0625,5.359375,9.37890625,"4720","16","4980","9"
11.7788461538462,2.46630522383745,1,0,0,0,1,0,0,0,0,1,7,0.49,0.343,0.2401,"5860","17","6870","12"
26.9230769230769,3.29298379702192,0,0,0,0,0,1,0,0,0,1,23,5.29,12.167,27.9841,"20","1","8680","20"
12.9370629370629,2.56009628781246,0,0,0,1,0,0,0,0,0,1,34.5,11.9025,41.063625,141.66950625,"9000","22","5670","9"
13.0769230769231,2.57084907958872,1,0,0,0,1,0,0,0,0,1,10,1,1,1,"725","2","8590","19"
15.3846153846154,2.7333680090865,0,0,1,0,0,0,0,0,0,1,36,12.96,46.656,167.9616,"8965","21","2190","5"
22.5,3.11351530921037,1,0,0,0,0,1,0,0,0,1,35,12.25,42.875,150.0625,"2310","8","7860","17"
100,4.60517018598809,1,0,0,0,0,1,0,0,0,1,27,7.29,19.683,53.1441,"850","2","6970","12"
11.5384615384615,2.44568593663472,0,0,1,0,0,0,0,0,0,1,41,16.81,68.921,282.5761,"3600","11","8270","18"
11.5384615384615,2.44568593663472,0,0,1,0,0,0,0,0,0,1,15,2.25,3.375,5.0625,"4010","13","8680","20"
21.6346153846154,3.07429459605709,1,0,0,0,1,0,0,0,0,1,23,5.29,12.167,27.9841,"3320","10","8190","18"
5.76923076923077,1.75253875607477,1,0,1,0,0,0,0,0,0,1,26,6.76,17.576,45.6976,"4020","13","8190","18"
8.50591715976331,2.14076205774843,0,0,0,1,0,0,0,0,0,1,4.5,0.2025,0.091125,0.04100625,"4220","14","8590","19"
33.9892665474061,3.52604478499348,0,0,0,0,1,0,0,0,0,1,21,4.41,9.261,19.4481,"5600","17","3680","6"
19.2307692307692,2.95651156040071,1,0,1,0,0,0,0,0,0,1,29,8.41,24.389,70.7281,"5700","17","7970","18"
15.7211538461538,2.75500718418998,1,0,0,0,1,0,0,0,0,1,2,0.04,0.008,0.0016,"5940","17","8290","18"
23.0769230769231,3.13883311719466,0,0,0,0,1,0,0,0,0,1,5,0.25,0.125,0.0625,"7630","20","4170","7"
23.3338675213675,3.14990584689208,0,0,0,0,1,0,0,0,0,1,27,7.29,19.683,53.1441,"120","1","6970","12"
20.3296703296703,3.01208141155552,1,0,0,1,0,0,0,0,0,1,33,10.89,35.937,118.5921,"7700","21","1280","5"
16.8269230769231,2.82298016777619,1,0,0,0,1,0,0,0,0,1,7,0.49,0.343,0.2401,"3640","11","7870","17"
9.44055944055944,2.24501524117257,0,0,1,0,0,0,0,0,0,1,25,6.25,15.625,39.0625,"4020","13","8680","20"
6.73076923076923,1.90668943590203,0,0,1,0,0,0,0,0,0,1,7,0.49,0.343,0.2401,"6820","19","770","4"
19.9038461538462,2.99091298711804,1,0,0,0,0,1,0,0,0,1,19,3.61,6.859,13.0321,"2010","6","9480","22"
6.04395604395604,1.79905877170967,0,0,0,0,1,0,0,0,0,1,3,0.09,0.027,0.0081,"4760","16","5170","9"
19.2307692307692,2.95651156040071,1,0,1,0,0,0,0,0,0,1,36,12.96,46.656,167.9616,"3255","10","8190","18"
10.5769230769231,2.35867455964509,1,0,1,0,0,0,0,0,0,1,19,3.61,6.859,13.0321,"4110","13","8680","20"
